source_modality,target_modality,source_feature,target_feature,score
metabolomics,proteomics,metabolomics_58,proteomics_41,0.2865176498889923
metabolomics,proteomics,metabolomics_58,proteomics_99,0.28191468119621277
metabolomics,proteomics,metabolomics_48,proteomics_41,0.27909961342811584
metabolomics,proteomics,metabolomics_58,proteomics_105,0.2789209187030792
metabolomics,proteomics,metabolomics_38,proteomics_41,0.278548002243042
metabolomics,proteomics,metabolomics_37,proteomics_111,0.27485722303390503
metabolomics,proteomics,metabolomics_37,proteomics_41,0.273566871881485
metabolomics,proteomics,metabolomics_35,proteomics_41,0.2735153138637543
metabolomics,proteomics,metabolomics_27,proteomics_11,0.27092668414115906
metabolomics,proteomics,metabolomics_75,proteomics_46,0.267386257648468
metabolomics,proteomics,metabolomics_35,proteomics_46,0.2662597596645355
metabolomics,proteomics,metabolomics_58,proteomics_34,0.2642664313316345
metabolomics,proteomics,metabolomics_58,proteomics_51,0.2623673975467682
metabolomics,proteomics,metabolomics_58,proteomics_73,0.26086196303367615
metabolomics,proteomics,metabolomics_73,proteomics_41,0.26068249344825745
metabolomics,proteomics,metabolomics_58,proteomics_7,0.2605915665626526
metabolomics,proteomics,metabolomics_25,proteomics_72,0.25822675228118896
metabolomics,proteomics,metabolomics_25,proteomics_41,0.25783008337020874
metabolomics,proteomics,metabolomics_33,proteomics_33,0.2521628141403198
metabolomics,proteomics,metabolomics_25,proteomics_46,0.25203800201416016
metabolomics,proteomics,metabolomics_9,proteomics_7,0.2518901824951172
metabolomics,proteomics,metabolomics_25,proteomics_16,0.24979297816753387
metabolomics,proteomics,metabolomics_58,proteomics_37,0.2484530508518219
metabolomics,proteomics,metabolomics_31,proteomics_34,0.24840795993804932
metabolomics,proteomics,metabolomics_24,proteomics_41,0.240026593208313
metabolomics,proteomics,metabolomics_77,proteomics_0,0.23840177059173584
metabolomics,proteomics,metabolomics_19,proteomics_27,0.2381325364112854
metabolomics,proteomics,metabolomics_75,proteomics_103,0.2361830621957779
metabolomics,proteomics,metabolomics_27,proteomics_29,0.2331225872039795
metabolomics,proteomics,metabolomics_43,proteomics_36,0.23214800655841827
metabolomics,proteomics,metabolomics_13,proteomics_29,0.2319604456424713
metabolomics,proteomics,metabolomics_60,proteomics_34,0.2314969301223755
metabolomics,proteomics,metabolomics_24,proteomics_114,0.23121722042560577
metabolomics,proteomics,metabolomics_79,proteomics_11,0.22982771694660187
metabolomics,proteomics,metabolomics_77,proteomics_71,0.2294088453054428
metabolomics,proteomics,metabolomics_73,proteomics_111,0.2293781042098999
metabolomics,proteomics,metabolomics_35,proteomics_16,0.22863911092281342
metabolomics,proteomics,metabolomics_77,proteomics_50,0.22601722180843353
metabolomics,proteomics,metabolomics_75,proteomics_27,0.2251550704240799
metabolomics,proteomics,metabolomics_34,proteomics_34,0.22493159770965576
metabolomics,proteomics,metabolomics_19,proteomics_7,0.22409334778785706
metabolomics,proteomics,metabolomics_77,proteomics_111,0.2223038673400879
metabolomics,proteomics,metabolomics_23,proteomics_7,0.22157196700572968
metabolomics,proteomics,metabolomics_78,proteomics_0,0.2213982492685318
metabolomics,proteomics,metabolomics_17,proteomics_111,0.22109857201576233
metabolomics,proteomics,metabolomics_77,proteomics_72,0.2208722084760666
metabolomics,proteomics,metabolomics_31,proteomics_35,0.2208370715379715
metabolomics,proteomics,metabolomics_25,proteomics_80,0.22079341113567352
metabolomics,proteomics,metabolomics_77,proteomics_54,0.22001788020133972
metabolomics,proteomics,metabolomics_77,proteomics_11,0.21983513236045837
metabolomics,proteomics,metabolomics_23,proteomics_105,0.21875382959842682
metabolomics,proteomics,metabolomics_31,proteomics_105,0.21856845915317535
metabolomics,proteomics,metabolomics_37,proteomics_58,0.21845653653144836
metabolomics,proteomics,metabolomics_58,proteomics_102,0.21719229221343994
metabolomics,proteomics,metabolomics_77,proteomics_20,0.21701258420944214
metabolomics,proteomics,metabolomics_77,proteomics_43,0.21699775755405426
metabolomics,proteomics,metabolomics_13,proteomics_34,0.21680423617362976
metabolomics,proteomics,metabolomics_55,proteomics_99,0.21586400270462036
metabolomics,proteomics,metabolomics_25,proteomics_71,0.2155863493680954
metabolomics,proteomics,metabolomics_73,proteomics_71,0.21534880995750427
metabolomics,proteomics,metabolomics_25,proteomics_50,0.21516506373882294
metabolomics,proteomics,metabolomics_30,proteomics_41,0.21504563093185425
metabolomics,proteomics,metabolomics_19,proteomics_72,0.2140873223543167
metabolomics,proteomics,metabolomics_25,proteomics_60,0.21372975409030914
metabolomics,proteomics,metabolomics_79,proteomics_41,0.21331927180290222
metabolomics,proteomics,metabolomics_55,proteomics_41,0.2120608389377594
metabolomics,proteomics,metabolomics_25,proteomics_99,0.21197301149368286
metabolomics,proteomics,metabolomics_43,proteomics_32,0.21173378825187683
metabolomics,proteomics,metabolomics_29,proteomics_41,0.211653932929039
metabolomics,proteomics,metabolomics_33,proteomics_36,0.21093176305294037
metabolomics,proteomics,metabolomics_77,proteomics_41,0.21085235476493835
metabolomics,proteomics,metabolomics_25,proteomics_116,0.21078358590602875
metabolomics,proteomics,metabolomics_35,proteomics_64,0.21075353026390076
metabolomics,proteomics,metabolomics_17,proteomics_27,0.2106935679912567
metabolomics,proteomics,metabolomics_41,proteomics_71,0.21033772826194763
metabolomics,proteomics,metabolomics_31,proteomics_51,0.2103249430656433
metabolomics,proteomics,metabolomics_48,proteomics_76,0.2102317065000534
metabolomics,proteomics,metabolomics_63,proteomics_27,0.20969636738300323
metabolomics,proteomics,metabolomics_58,proteomics_28,0.20942477881908417
metabolomics,proteomics,metabolomics_55,proteomics_105,0.2092580646276474
metabolomics,proteomics,metabolomics_78,proteomics_76,0.20881399512290955
metabolomics,proteomics,metabolomics_58,proteomics_5,0.20829474925994873
metabolomics,proteomics,metabolomics_60,proteomics_46,0.2082396298646927
metabolomics,proteomics,metabolomics_34,proteomics_55,0.20823681354522705
metabolomics,proteomics,metabolomics_25,proteomics_37,0.20806758105754852
metabolomics,proteomics,metabolomics_67,proteomics_41,0.2076515257358551
metabolomics,proteomics,metabolomics_24,proteomics_111,0.20749925076961517
metabolomics,proteomics,metabolomics_0,proteomics_38,0.20724239945411682
metabolomics,proteomics,metabolomics_31,proteomics_99,0.20716778934001923
metabolomics,proteomics,metabolomics_37,proteomics_51,0.20709852874279022
metabolomics,proteomics,metabolomics_77,proteomics_27,0.2068089097738266
metabolomics,proteomics,metabolomics_38,proteomics_34,0.206338569521904
metabolomics,proteomics,metabolomics_23,proteomics_41,0.20633664727210999
metabolomics,proteomics,metabolomics_47,proteomics_111,0.20628055930137634
metabolomics,proteomics,metabolomics_77,proteomics_33,0.20554785430431366
metabolomics,proteomics,metabolomics_75,proteomics_41,0.2054508924484253
metabolomics,proteomics,metabolomics_65,proteomics_117,0.20469258725643158
metabolomics,proteomics,metabolomics_75,proteomics_117,0.2042142003774643
metabolomics,proteomics,metabolomics_54,proteomics_16,0.20374120771884918
metabolomics,proteomics,metabolomics_55,proteomics_114,0.20371758937835693
metabolomics,proteomics,metabolomics_38,proteomics_46,0.20361772179603577
metabolomics,proteomics,metabolomics_25,proteomics_103,0.20359957218170166
metabolomics,proteomics,metabolomics_65,proteomics_37,0.20354169607162476
metabolomics,proteomics,metabolomics_19,proteomics_64,0.20326225459575653
metabolomics,proteomics,metabolomics_53,proteomics_41,0.20312006771564484
metabolomics,proteomics,metabolomics_75,proteomics_54,0.20311756432056427
metabolomics,proteomics,metabolomics_52,proteomics_0,0.20297764241695404
metabolomics,proteomics,metabolomics_0,proteomics_0,0.2019527703523636
metabolomics,proteomics,metabolomics_58,proteomics_77,0.20167817175388336
metabolomics,proteomics,metabolomics_25,proteomics_73,0.2016112357378006
metabolomics,proteomics,metabolomics_25,proteomics_36,0.20093409717082977
metabolomics,proteomics,metabolomics_78,proteomics_41,0.20090638101100922
metabolomics,proteomics,metabolomics_73,proteomics_40,0.2001715451478958
metabolomics,proteomics,metabolomics_31,proteomics_102,0.20014403760433197
